,block_table,9.4.193.187:9866,9.4.193.199:9866,9.4.193.166:9866,9.4.193.228:9866,9.4.193.110:9866
0,supplier.tbl,1,0,1,0,1
1,lineitem.tbl,0,0,1,1,1
2,lineitem.tbl,1,0,1,0,1
3,lineitem.tbl,1,0,1,0,1
4,lineitem.tbl,1,0,1,0,1
5,lineitem.tbl,0,0,1,1,1
6,lineitem.tbl,1,0,0,1,1
7,lineitem.tbl,0,0,1,1,1
8,lineitem.tbl,1,0,0,1,1
9,lineitem.tbl,1,0,1,0,1
10,lineitem.tbl,0,0,1,1,1
11,lineitem.tbl,1,0,0,1,1
12,lineitem.tbl,0,0,1,1,1
13,lineitem.tbl,0,0,1,1,1
14,lineitem.tbl,1,0,1,0,1
15,lineitem.tbl,1,0,0,1,1
16,lineitem.tbl,1,0,0,1,1
17,lineitem.tbl,0,0,1,1,1
18,lineitem.tbl,1,0,1,0,1
19,lineitem.tbl,0,0,1,1,1
20,lineitem.tbl,0,0,1,1,1
21,lineitem.tbl,1,0,0,1,1
22,lineitem.tbl,1,0,1,0,1
23,lineitem.tbl,0,0,1,1,1
24,lineitem.tbl,1,0,1,0,1
25,lineitem.tbl,0,0,1,1,1
26,lineitem.tbl,1,0,0,1,1
27,lineitem.tbl,1,0,0,1,1
28,lineitem.tbl,1,0,0,1,1
29,lineitem.tbl,1,0,1,0,1
30,lineitem.tbl,1,0,1,0,1
31,lineitem.tbl,1,0,0,1,1
32,lineitem.tbl,0,0,1,1,1
33,lineitem.tbl,1,0,1,0,1
34,lineitem.tbl,1,0,1,0,1
35,lineitem.tbl,1,0,0,1,1
36,lineitem.tbl,0,0,1,1,1
37,lineitem.tbl,1,0,1,0,1
38,lineitem.tbl,0,0,1,1,1
39,lineitem.tbl,0,0,1,1,1
40,lineitem.tbl,1,0,1,0,1
41,lineitem.tbl,0,0,1,1,1
42,lineitem.tbl,1,0,1,0,1
43,lineitem.tbl,1,0,1,0,1
44,lineitem.tbl,1,0,0,1,1
45,lineitem.tbl,1,0,0,1,1
46,lineitem.tbl,1,0,1,0,1
47,lineitem.tbl,1,0,1,0,1
48,lineitem.tbl,0,0,1,1,1
49,lineitem.tbl,0,0,1,1,1
50,lineitem.tbl,1,0,0,1,1
51,lineitem.tbl,1,0,0,1,1
52,lineitem.tbl,1,0,1,0,1
53,lineitem.tbl,1,0,1,0,1
54,lineitem.tbl,0,0,1,1,1
55,lineitem.tbl,1,0,0,1,1
56,lineitem.tbl,0,0,1,1,1
57,lineitem.tbl,0,0,1,1,1
58,lineitem.tbl,1,0,1,0,1
59,lineitem.tbl,1,0,0,1,1
60,lineitem.tbl,1,0,0,1,1
61,lineitem.tbl,0,0,1,1,1
62,lineitem.tbl,0,0,1,1,1
63,lineitem.tbl,1,0,1,0,1
64,lineitem.tbl,1,0,1,0,1
65,lineitem.tbl,0,0,1,1,1
66,lineitem.tbl,1,0,1,0,1
67,lineitem.tbl,0,0,1,1,1
68,lineitem.tbl,1,0,1,0,1
69,lineitem.tbl,0,0,1,1,1
70,lineitem.tbl,0,0,1,1,1
71,lineitem.tbl,0,0,1,1,1
72,lineitem.tbl,1,0,1,0,1
73,lineitem.tbl,0,0,1,1,1
74,lineitem.tbl,1,0,1,0,1
75,lineitem.tbl,1,0,1,0,1
