,block_table,9.4.193.166:9866,9.4.193.199:9866,9.4.193.187:9866,9.4.193.228:9866,9.4.193.110:9866
0,part.tbl,0,1,0,1,1
1,part.tbl,1,0,1,1,0
2,part.tbl,1,0,1,1,0
3,part.tbl,1,1,1,0,0
4,part.tbl,1,1,0,0,1
5,part.tbl,1,1,1,0,0
6,part.tbl,0,0,1,1,1
7,part.tbl,1,0,0,1,1
8,part.tbl,0,0,1,1,1
9,part.tbl,1,0,1,1,0
10,region.tbl,0,1,0,1,1
11,customer.tbl,0,0,1,1,1
12,customer.tbl,1,0,1,1,0
13,customer.tbl,1,0,1,0,1
14,customer.tbl,0,0,1,1,1
15,customer.tbl,1,0,1,1,0
16,customer.tbl,0,0,1,1,1
17,customer.tbl,1,0,1,0,1
18,customer.tbl,0,1,1,1,0
19,customer.tbl,1,1,1,0,0
20,customer.tbl,0,0,1,1,1
21,supplier.tbl,1,1,0,1,1
22,partsupp.tbl,0,1,1,1,0
23,partsupp.tbl,0,1,1,0,1
24,partsupp.tbl,1,0,0,1,1
25,partsupp.tbl,1,0,0,1,1
26,partsupp.tbl,0,1,1,1,0
27,partsupp.tbl,1,1,1,0,0
28,partsupp.tbl,0,1,0,1,1
29,partsupp.tbl,0,0,1,1,1
30,partsupp.tbl,0,1,1,0,1
31,partsupp.tbl,1,1,0,0,1
32,partsupp.tbl,0,1,1,0,1
33,partsupp.tbl,1,1,0,1,0
34,partsupp.tbl,1,1,0,0,1
35,partsupp.tbl,1,1,1,0,0
36,partsupp.tbl,0,0,1,1,1
37,partsupp.tbl,0,1,0,1,1
38,partsupp.tbl,1,0,0,1,1
39,partsupp.tbl,1,0,0,1,1
40,partsupp.tbl,0,0,1,1,1
41,partsupp.tbl,1,1,0,1,0
42,partsupp.tbl,1,1,0,0,1
43,partsupp.tbl,0,1,1,1,0
44,partsupp.tbl,1,0,1,0,1
45,partsupp.tbl,0,1,1,1,0
46,partsupp.tbl,0,1,0,1,1
47,partsupp.tbl,0,1,0,1,1
48,partsupp.tbl,1,0,1,0,1
49,partsupp.tbl,1,1,1,0,0
50,partsupp.tbl,1,1,0,0,1
51,partsupp.tbl,0,0,1,1,1
52,partsupp.tbl,1,0,1,0,1
53,partsupp.tbl,0,1,1,0,1
54,partsupp.tbl,1,1,0,1,0
55,partsupp.tbl,1,0,1,0,1
56,partsupp.tbl,1,0,1,0,1
57,partsupp.tbl,1,0,0,1,1
58,partsupp.tbl,1,1,1,0,0
59,partsupp.tbl,1,1,0,1,0
60,partsupp.tbl,1,1,1,0,0
61,partsupp.tbl,1,0,1,1,0
62,partsupp.tbl,0,0,1,1,1
63,partsupp.tbl,1,0,1,0,1
64,partsupp.tbl,1,1,1,0,0
65,partsupp.tbl,0,0,1,1,1
66,partsupp.tbl,0,0,1,1,1
67,partsupp.tbl,1,0,1,1,0
68,nation.tbl,1,1,0,1,0
69,orders.tbl,1,0,0,1,1
70,orders.tbl,0,1,0,1,1
71,orders.tbl,0,1,1,1,0
72,orders.tbl,1,0,0,1,1
73,orders.tbl,1,0,1,1,0
74,orders.tbl,1,1,0,1,0
75,orders.tbl,0,1,1,0,1
76,orders.tbl,1,0,1,1,0
77,orders.tbl,0,1,1,1,0
78,orders.tbl,1,1,0,0,1
79,orders.tbl,0,1,1,1,0
80,orders.tbl,1,1,0,1,0
81,orders.tbl,1,0,0,1,1
82,orders.tbl,0,1,0,1,1
83,orders.tbl,0,1,1,1,0
