,block_table,9.4.193.166:9866,9.4.193.199:9866,9.4.193.187:9866,9.4.193.228:9866,9.4.193.110:9866
0,part.tbl,1.0,0.0,1.0,0.0,1.0
1,part.tbl,1.0,0.0,1.0,0.0,1.0
2,part.tbl,1.0,0.0,0.0,1.0,1.0
3,part.tbl,1.0,0.0,0.0,1.0,1.0
4,part.tbl,0.0,0.0,1.0,1.0,1.0
5,part.tbl,1.0,1.0,0.0,0.0,1.0
6,part.tbl,0.0,1.0,1.0,0.0,1.0
7,part.tbl,1.0,0.0,1.0,0.0,1.0
8,part.tbl,1.0,1.0,1.0,0.0,0.0
9,part.tbl,1.0,0.0,0.0,1.0,1.0
10,region.tbl,1.0,1.0,1.0,1.0,1.0
11,customer.tbl,1.0,0.0,1.0,0.0,1.0
12,customer.tbl,1.0,1.0,1.0,0.0,0.0
13,customer.tbl,1.0,0.0,0.0,1.0,1.0
14,customer.tbl,1.0,1.0,0.0,0.0,1.0
15,customer.tbl,1.0,1.0,0.0,1.0,0.0
16,customer.tbl,0.0,1.0,1.0,1.0,0.0
17,customer.tbl,1.0,1.0,0.0,1.0,0.0
18,customer.tbl,0.0,0.0,1.0,1.0,1.0
19,customer.tbl,0.0,1.0,1.0,0.0,1.0
20,customer.tbl,1.0,0.0,0.0,1.0,1.0
21,supplier.tbl,1.0,0.0,0.0,1.0,1.0
22,partsupp.tbl,0.0,1.0,1.0,1.0,0.0
23,partsupp.tbl,1.0,0.0,1.0,1.0,0.0
24,partsupp.tbl,1.0,1.0,0.0,0.0,1.0
25,partsupp.tbl,1.0,0.0,0.0,1.0,1.0
26,partsupp.tbl,1.0,1.0,1.0,0.0,0.0
27,partsupp.tbl,1.0,0.0,1.0,0.0,1.0
28,partsupp.tbl,1.0,0.0,0.0,1.0,1.0
29,partsupp.tbl,0.0,1.0,1.0,0.0,1.0
30,partsupp.tbl,1.0,1.0,0.0,1.0,0.0
31,partsupp.tbl,1.0,0.0,0.0,1.0,1.0
32,partsupp.tbl,1.0,0.0,1.0,1.0,0.0
33,partsupp.tbl,0.0,1.0,0.0,1.0,1.0
34,partsupp.tbl,1.0,1.0,0.0,0.0,1.0
35,partsupp.tbl,1.0,1.0,0.0,0.0,1.0
36,partsupp.tbl,0.0,1.0,0.0,1.0,1.0
37,partsupp.tbl,1.0,1.0,1.0,0.0,0.0
38,partsupp.tbl,1.0,0.0,1.0,1.0,0.0
